Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree;;
894;Erich Ebermayer;Drehbuch/Produzent;2;24;4;0.359615;0.37972;0;0.141049;12;;
180;Eduard Künneke;Musik;3;36;4;0.397964;0.429253;1047.232266;0.33334;33;;
181;Eduard Hoesch;Kamera;3;36;4;0.392447;0.423569;954.946815;0.34995;32;;
183;Robert Baberske;Kamera;3;38;4;0.413602;0.444986;1627.534354;0.363451;34;;
185;Walter Supper;Drehbuch;3;40;4;0.385446;0.417276;960.187729;0.320673;34;;
904;E. W. Emo;Regie/Drehbuch;5;68;4;0.404234;0.434734;593.129353;0.397917;32;;
189;Curt J. Braun;Drehbuch;3;39;4;0.400293;0.434836;1417.607993;0.39321;37;;
190;Artur Schwarz;Bauten;3;40;4;0.410705;0.441636;919.166039;0.389992;33;;
191;Walter Janssen;Darsteller;3;38;4;0.416118;0.448538;1577.011641;0.466159;37;;
192;Paul Hartmann;Darsteller;3;44;4;0.406235;0.441129;1936.153909;0.428113;42;;
193;Peter Francke;Drehbuch;3;40;4;0.396427;0.428644;1169.931201;0.353272;34;;
194;Colette Darfeuil;Darsteller;3;42;4;0.390952;0.423873;4543.935797;0.386292;39;;
195;Peter Ostermayr;Produzent;3;42;4;0.386535;0.417073;737.495161;0.29213;34;;
196;Walter Haag;Bauten;3;41;4;0.375229;0.402964;474.578109;0.233469;29;;
197;Carl Haacker;Bauten;3;43;4;0.402846;0.433516;411.228514;0.416672;32;;
198;Aribert Mog;Darsteller;3;45;3;0.406034;0.437881;1214.773691;0.368359;37;;
199;Artur Günther;Bauten;3;44;4;0.415276;0.449655;1632.686856;0.524719;42;;
200;Walter Fredersdorf;Schnitt;3;41;4;0.415066;0.448031;1070.31969;0.496095;38;;
201;Walter Forster;Drehbuch;3;38;4;0.393011;0.423873;1100.529034;0.36607;34;;
202;René Deltgen;Darsteller;3;43;4;0.383108;0.414535;1281.727926;0.309042;35;;
203;Viktor Tourjansky;Regie/Schnitt;3;37;4;0.367009;0.391697;90.274227;0.200202;20;;
204;Carl Schenstrøm;Darsteller;3;28;4;0.386353;0.412607;101.329803;0.240907;20;;
205;Carsta Löck;Darsteller;3;37;4;0.386353;0.417073;1151.390589;0.301489;31;;
206;Viktor de Kowa;Darsteller;3;37;4;0.391885;0.421336;561.928824;0.295167;28;;
