Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree
1575,Hermann Basler,Darsteller,1,0,0,0,0,0,0,0
1576,Herbert Stock,Darsteller,1,11,6,0.328122,0.34604,0,0.067642,10
1577,Herbert Gerdes,Regie,1,2,7,0.292338,0.305963,0,0.012677,2
1651,Herr Asam,Kamera/Regie,2,16,1,1,1,0,0.003078,7
1579,Hans von Wolzogen,Drehbuch,1,7,7,0.323996,0.34304,0,0.045924,7
1580,Hans von Zedlitz,Darsteller,1,7,8,0.219483,0.228263,0,0.002486,5
1581,Hardy von François,Darsteller,1,9,5,0.307451,0.322442,0,0.031955,9
1582,Harry Ensor,Darsteller,1,9,6,0.314292,0.330418,0,0.028478,9
1583,Harry Frank,Darsteller,1,9,7,0.318793,0.337923,0,0.054997,9
1584,Harry Scheff,Drehbuch,1,6,6,0.275455,0.287486,0,0.007108,5
1585,Harry de Groote,Darsteller,1,7,6,0.257584,0.269889,0,0.007068,7
1586,Hedda Forsten,Darsteller,1,9,7,0.295931,0.312759,0,0.024246,8
1587,Hedda Lembach,Darsteller,1,6,7,0.255345,0.265913,0,0.00428,5
1588,Hedwig Schröder,Darsteller,1,10,7,0.322503,0.34093,0,0.0492,10
1589,Heidi Wilms,Darsteller,1,6,6,0.291295,0.304652,0,0.011252,5
1590,Heinrich Bolten-Baeckers,Regie,1,4,8,0.184943,0.191083,0,0.001879,4
1591,Heinrich Eisenbach,Darsteller,1,9,7,0.312886,0.33174,0,0.042976,8
1592,Heinrich Spennrath,Darsteller,1,11,6,0.298881,0.31391,0,0.02814,10
1593,Helmut Krauss,Darsteller,1,7,7,0.291122,0.305452,0,0.016886,7
1594,Heinrich Umlauff,Bauten,1,13,7,0.305851,0.325194,0,0.036646,12
1595,Heinz Baudo,Drehbuch,1,9,6,0.340994,0.362832,0,0.099189,9
1596,Heinz Flerko,Darsteller,1,7,7,0.306489,0.322255,0,0.02803,7
1597,Heinz Heil,Regie,1,6,7,0.282283,0.295672,0,0.010428,6
1598,Heinz Herald,Regie,1,9,7,0.270484,0.283578,0,0.010039,8
1599,Heinz Salfner,Darsteller,1,10,6,0.339418,0.359814,0,0.062642,9
1600,Heinz Stefan Wilbrand,Kamera,1,10,7,0.325793,0.344878,0,0.052098,9
1601,Heinz Stieda1. Abgeordneter des Stahltrusts,Darsteller,1,9,6,0.321726,0.340073,0,0.049042,8
1602,Heinz Willy Kaiser,Darsteller,1,3,8,0.265738,0.277671,0,0.004981,3
1603,Helene Brahms,Darsteller,1,10,6,0.321444,0.339449,0,0.043195,9
1604,Helene Ford,Darsteller,1,9,7,0.317897,0.337322,0,0.044933,8
1605,Helene Voß,Darsteller,1,7,6,0.297068,0.312911,0,0.018406,7
1606,Helmut Goeze,Darsteller,1,8,7,0.309003,0.326805,0,0.035174,8
1607,seine Tochter,Darsteller,1,13,7,0.315846,0.333816,0,0.033242,10
1608,Svend Gade,Bauten/Regie,2,22,6,0.325648,0.345825,0,0.060638,11
