Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree,Column,Column2
70,Georg C. Klaren,Drehbuch,4,57,4,0.435088,0.477039,1849.2598,0.749596,52,,
71,Erich Kettelhut,Bauten,4,53,5,0.388309,0.428763,891.560064,0.43231,40,,
72,Willy Winterstein,Kamera,4,54,4,0.405008,0.443884,941.549068,0.485069,40,,
73,Georg Bruckbauer,Kamera,4,52,4,0.413104,0.453629,3723.14516,0.436665,47,,
74,Hanns H. Kuhnert,Bauten,4,56,4,0.409466,0.446013,684.635548,0.509753,38,,
75,Peter Kreuder Jr.,Musik,4,53,4,0.41037,0.450493,3664.967802,0.442782,46,,
76,Sabine Peters,Darsteller,4,51,4,0.430058,0.470766,2331.476419,0.635001,48,,
77,Thea von Harbou,Drehbuch,4,58,4,0.423932,0.466734,2578.593028,0.605937,53,,
78,Edgar S. Ziesemer,Kamera,4,42,4,0.402815,0.439628,2593.858942,0.337194,37,,
79,Fritz Kirchhoff,Regie/Drehbuch,4,54,4,0.417274,0.454077,2069.053935,0.499087,39,,
80,Erich Ziegel,Darsteller,4,55,4,0.433314,0.474238,2509.736218,0.603103,51,,
81,Marianne Hoppe,Darsteller,3,43,4,0.397012,0.436044,2386.00697,0.400812,40,,
82,Erich Zander,Bauten,3,45,4,0.416107,0.452733,1084.386376,0.444229,39,,
83,Marika Rökk,Darsteller,3,41,4,0.408567,0.446909,1279.600373,0.514128,38,,
84,Lotte Neumann,Drehbuch,3,41,5,0.400431,0.437948,881.28192,0.449523,37,,
85,Ernst Legal,Darsteller,3,42,4,0.407225,0.443324,1088.274908,0.454081,37,,
86,Max Mellin,Bauten,3,38,4,0.394486,0.427195,1261.723047,0.335407,34,,
87,Martha Dübber,Schnitt,3,44,4,0.421291,0.461358,1946.499925,0.610251,43,,
88,Lucie Höflich,Darsteller,3,48,4,0.40369,0.442764,4448.58968,0.457588,44,,
89,Erich Ebermayer,Drehbuch,3,38,3,0.408791,0.442204,1838.022658,0.353672,37,,
91,Lothar Brühne,Musik,3,35,4,0.385692,0.419579,2013.78389,0.292824,34,,
92,Maria Andergast,Darsteller,3,30,4,0.400215,0.433356,766.63812,0.36716,29,,
93,Lucie Englisch,Darsteller,3,34,4,0.391579,0.426523,1211.666219,0.327663,32,,
94,Jürgen von Alten,Regie,3,38,4,0.420339,0.455085,505.687328,0.535926,33,,
95,Ernst Waldow,Darsteller,3,21,4,0.389529,0.420139,605.004184,0.297911,21,,
96,Gerhard Dammann,Darsteller,3,17,4,0.373682,0.397177,296.632314,0.165091,15,,
97,Georg Haentzschel,Musik,3,41,4,0.41634,0.453629,1362.813302,0.467641,38,,
98,Heinz Salfner,Darsteller,3,39,4,0.415179,0.451613,1007.740371,0.528876,38,,
99,Heinz Rühmann,Darsteller/Drehbuch,3,40,4,0.379398,0.410282,457.048485,0.219831,25,,
100,Harold M. Kirchstein,Musik,3,40,4,0.405671,0.441644,707.90299,0.49656,35,,
101,Harald Böhmelt,Musik,3,32,4,0.383308,0.417899,3267.573655,0.254931,30,,
102,Hans Söhnker,Darsteller,3,40,4,0.418212,0.455533,896.548323,0.570282,38,,
103,Hans Richter,Darsteller,3,42,4,0.40678,0.442764,1690.070157,0.460325,39,,
104,Herbert Selpin,Regie/Drehbuch,3,37,4,0.377091,0.406138,202.822821,0.226788,23,,
105,Hans Moser,Darsteller,3,42,4,0.407002,0.446797,1607.111592,0.50342,42,,
803,Anny Ondra,Darsteller/Produzent,6,84,4,0.394904,0.437052,1514.842851,511,46,,
107,Gertrud Hinz,Schnitt,3,42,4,0.404348,0.439852,1814.581712,0.389189,38,,
108,Hans Brausewetter,Darsteller,3,37,4,0.414254,0.448141,1133.942419,0.438974,33,,
109,Gottfried Ritter,Schnitt,3,42,4,0.395745,0.43246,782.86232,0.458007,36,,
110,Hannes Stelzer,Darsteller,3,37,4,0.395114,0.429996,1340.989356,0.390844,34,,
111,Herbert Hübner,Darsteller,3,36,4,0.390962,0.423947,4074.745889,0.267267,34,,
112,Herbert Windt,Musik,3,43,4,0.421053,0.456989,2140.832734,0.549573,41,,
113,Lena Neumann,Schnitt,3,40,4,0.391785,0.426299,895.666101,0.317723,35,,
114,Franz Koehn,Bauten,3,41,4,0.413793,0.449933,526.273439,0.549579,35,,
115,Eva Leidmann,Drehbuch,3,39,4,0.40238,0.43918,1343.889072,0.400797,36,,
116,Kurt E. Walter,Drehbuch,3,44,4,0.412646,0.451277,654.227808,0.593363,39,,
117,Ferdinand Marian,Darsteller,3,36,4,0.386694,0.419803,1306.367388,0.261298,34,,
118,Fita Benkhoff,Darsteller,3,35,4,0.385293,0.419691,1701.105758,0.311936,33,,
119,Karl Martell,Darsteller,3,36,4,0.388106,0.423163,1947.845921,0.267961,35,,
120,Franz Koch,Kamera,3,39,4,0.388512,0.423163,757.531945,0.300151,34,,
121,Karl Ludwig Diehl,Darsteller,3,36,4,0.395114,0.430892,5337.847117,0.361508,35,,
122,Fritz Peter Buch,Regie/Drehbuch,3,35,4,0.377473,0.407482,313.699871,0.267778,24,,
123,Emil Hasler,Bauten,3,40,4,0.403471,0.4403,766.017207,0.495403,37,,
124,Joseph Dalmann,Drehbuch,3,42,4,0.395114,0.430332,1492.43761,0.426477,36,,
125,Franz Weihmayr,Kamera,3,38,4,0.393443,0.427531,951.112223,0.280483,31,,
126,Fritz Arno Wagner,Kamera,3,42,4,0.399356,0.437052,1401.854612,0.401977,38,,
127,Hermann Warm,Bauten,3,38,4,0.404128,0.43582,1146.131336,0.300515,33,,
128,Fritz Maurischat,Bauten,3,42,4,0.41105,0.446685,2209.291313,0.398705,40,,
129,Michael Jary,Musik,3,37,4,0.388715,0.423051,872.362222,0.367673,31,,
130,Marieluise Claudius,Darsteller,3,44,4,0.406114,0.443772,2663.184978,0.359842,40,,
131,Milo Harbich,Schnitt,3,43,4,0.409466,0.44422,1187.923812,0.444639,37,,
132,Viktoria von Ballasko,Darsteller,3,39,4,0.403034,0.436604,1247.333517,0.324466,35,,
133,Veit Harlan,Regie,3,39,4,0.40545,0.442092,663.680512,0.468252,36,,
134,Wilhelm Bendow,Darsteller,3,43,4,0.423932,0.462142,1088.322042,0.575914,41,,
135,Peter Elsholtz,Darsteller,3,46,4,0.411732,0.450381,5310.639522,0.421919,41,,
136,Viktor de Kowa,Darsteller,3,46,4,0.414485,0.453181,971.710161,0.551682,41,,
