Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree
331,Wolfgang Loë-Bagier,Schnitt,2,30,5,0.38831,0.416842,119.937887,0.250649,26
332,Hilde Auen,Darsteller,2,26,5,0.377215,0.405577,763.970151,0.168849,25
333,Hilde Hildebrand,Darsteller,2,26,5,0.369334,0.39519,599.971547,0.145159,24
334,Marlene Dietrich,Darsteller,2,30,5,0.353679,0.376734,4.810683,0.130351,17
335,Hugo Fischer-Köppe,Darsteller,2,22,4,0.383174,0.407478,869.195004,0.162171,18
338,Iwan Kowal-Samborskij,Darsteller,2,24,5,0.368551,0.39559,532.219694,0.176503,24
339,Maria Matray,Darsteller,2,32,5,0.389615,0.421477,402.670452,0.272563,30
340,Ilse Korseck,Darsteller,2,23,5,0.382472,0.41077,471.935877,0.19531,23
341,Inge Landgut,Darsteller,2,22,5,0.383597,0.411489,577.060438,0.208084,22
342,Max Maxudian,Darsteller,2,19,5,0.361275,0.387041,1202.346116,0.130115,18
343,László Schäffer,Kamera,2,23,5,0.341073,0.362672,464.053153,0.062481,19
344,Karl M. May,Musik,2,30,5,0.404264,0.4341,534.466807,0.29827,30
345,Hans Heinz Bollmann,Darsteller,2,28,4,0.37518,0.402285,398.847614,0.218455,28
346,Gustave Preiß,Kamera,2,25,5,0.336886,0.360355,1294.935638,0.068018,25
347,Gustl Stark-Gstettenbaur,Darsteller,2,27,5,0.386869,0.416123,320.708693,0.257027,26
348,Karl Huszar-Puffy,Darsteller,2,23,5,0.380241,0.407175,360.598469,0.182292,22
349,Karl Hasselmann,Kamera,2,28,5,0.343431,0.367546,2898.290748,0.069073,25
350,Lothar Philipp August Mayring,Drehbuch,2,26,5,0.378036,0.404778,784.712003,0.16364,25
351,Alexander Alexander,Drehbuch,2,32,5,0.407263,0.438175,410.485785,0.309442,31
352,Hanne Kuyt,Schnitt,2,25,5,0.388454,0.415884,89.078868,0.284329,23
353,Nico Turoff,Darsteller,2,22,5,0.386726,0.411649,717.587922,0.141564,18
354,Alexa von Engström,Darsteller,2,28,5,0.389324,0.41844,371.194423,0.275405,26
355,Hanns Schwarz,Regie,2,30,5,0.376263,0.40318,51.202308,0.236221,24
356,Karl Harbacher,Darsteller,2,30,5,0.375045,0.404059,386.489363,0.218939,27
357,Alberto Giacalone,Produzent,2,32,5,0.359407,0.384244,14.171454,0.134834,19
358,Willy Zeyn jun.,Schnitt,2,30,5,0.376263,0.40318,51.202308,0.236221,24
359,Karin Evans,Darsteller,2,29,5,0.374372,0.402461,601.572887,0.159957,27
360,Lydia Potechina,Darsteller,2,21,4,0.379964,0.404602,40.117112,0.242884,19
361,Jára Beneš,Musik,2,36,4,0.378447,0.404123,78.247372,0.239371,26
362,Josef Rovenský,Darsteller,2,23,5,0.343431,0.366587,3502.866076,0.077897,22
363,Hans Ledersteger,Bauten,2,29,4,0.368551,0.393576,3535.572401,0.127993,29
364,Mischa Spoliansky,Musik,2,22,5,0.37491,0.401582,406.093412,0.179864,22
