Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree
1306;William Karfiol;Regie/Drehbuch;3;28;5;0.355784;0.381434;260.391509;0.197434;18
442;Walther Brügmann;Darsteller;2;18;4;0.361763;0.384969;349.614539;0.181689;16
444;Lotte Neumann;Darsteller;2;18;5;0.336281;0.359874;161.216269;0.147502;17
445;Viggo Larsen;Darsteller;2;18;5;0.359031;0.381931;370.900844;0.173873;17
446;Victor Senger;Darsteller;2;19;5;0.349036;0.372144;1161.096422;0.130077;19
447;Manfred Noa;Regie;2;20;5;0.351077;0.372656;427.255767;0.133489;18
448;Leopold Kutzleb;Kamera;2;11;5;0.311919;0.330689;159.490938;0.04984;11
449;Eduard Rothauser;Darsteller;2;16;5;0.334114;0.353637;549.426113;0.111917;16
450;Eduard Ijdo;Darsteller/Drehbuch;2;22;5;0.264182;0.278177;0;0.016741;9
451;Theodor Becker;Darsteller;2;22;5;0.346703;0.371297;982.565552;0.146769;21
453;Marga Lindt;Darsteller;2;11;5;0.291891;0.308866;769.361299;0.024051;10
454;Toni Tetzlaff;Darsteller;2;16;5;0.350861;0.372656;226.975458;0.177493;15
455;Dimitri Buchowetzki;Drehbuch/Regie;2;20;5;0.33638;0.358443;0;0.134858;10
456;Daisy Torrens;Darsteller;2;15;5;0.32996;0.350015;228.50314;0.081427;13
458;Uschi Elleot;Darsteller;2;13;5;0.340699;0.361744;1036.727494;0.110921;13
459;Manja Tzatschewa;Darsteller;2;19;5;0.365471;0.391835;521.367567;0.22633;19
460;Liane Haid;Darsteller;2;22;5;0.34513;0.370859;425.257882;0.196921;19
461;Colette Corder;Darsteller;2;18;5;0.361305;0.384852;534.399642;0.166305;17
463;Cleo d'Osterode;Darsteller;2;12;7;0.224828;0.235938;0;0.006358;6
464;Claire Rommer;Darsteller;2;17;5;0.355009;0.378542;419.097439;0.195429;16
465;Lilli Lohrer;Darsteller;2;15;5;0.336876;0.355638;1421.442878;0.076741;13
466;Vicky Werckmeister;Darsteller;2;20;5;0.333626;0.357055;712.242231;0.11685;19
467;Mara Markhoff;Darsteller;2;18;5;0.339988;0.362533;483.828875;0.121375;18
468;Charles Decroix;Drehbuch/Regie;2;14;7;0.203459;0.212762;0;0.008647;7
469;Auguste Prasch-Grevenberg;Darsteller;2;18;5;0.339381;0.364914;807.99;0.135651;17
470;August Rinaldi;Bauten;2;19;5;0.349464;0.372436;346.608528;0.134158;16
471;Theo Shall;Darsteller;2;13;6;0.2976;0.316185;3756.475539;0.035051;13
472;August Brückner;Kamera;2;19;5;0.343986;0.36579;213.725918;0.145703;15
474;Alfred Gerasch;Darsteller;2;18;5;0.349036;0.370289;146.262069;0.169457;16
475;Ludwig Körner;Darsteller;2;19;5;0.352923;0.376746;568.122466;0.164708;19
476;Alexander von Antalffy;Darsteller/Regie;2;9;5;0.315106;0.334575;0;0.062496;8
477;Willy Hameister;Kamera;2;18;5;0.346914;0.371195;303.129484;0.151244;17
478;Willy Hesch;Bauten;2;36;5;0.331976;0.35355;0;0.1315;16
479;Alexander Erdmann-Jesnitzer;Regie;2;12;6;0.318182;0.338723;981.71508;0.055807;12
480;Albert Paulig;Darsteller;2;28;6;0.274081;0.291864;253.049805;0.034331;17
481;Albert Paul;Darsteller;2;17;5;0.360164;0.384955;559.613662;0.183706;17
482;Willy Zeyn Sr.;Regie;2;18;5;0.319429;0.339162;2.376706;0.090783;10
483;Albert Korell;Bauten;2;28;6;0.274081;0.291864;253.049805;0.034331;17
484;Willy Zierath;Bauten;2;20;5;0.329864;0.351183;163.451133;0.110847;16
486;Adolf Wenter;Regie;2;7;5;0.306062;0.323474;840.079796;0.031885;7
487;Ludwig Zahn;Kamera;2;28;5;0.319161;0.341908;0.071429;0.117742;15
488;Xenia Desni;Darsteller;2;20;5;0.356674;0.381712;119.274547;0.237617;17
489;Luigi Romano Borgnetto;Regie;2;15;5;0.339988;0.362153;134.108563;0.117337;13
490;Luigi Romano;Regie;2;15;5;0.339988;0.362153;134.108563;0.117337;13
