Id,Label,Contribution,Weight,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,Degree,clustering,triangles
48,Evi Eva,Darsteller,5,49,5,0.393842,0.430922,5596.56645,0.370334,45,0.222222,220
49,Ada van Roon,Drehbuch/Darsteller,5,37,4,0.358878,0.385745,520.525908,0.187524,20,0.526316,100
50,Thea von Harbou,Drehbuch,5,81,4,0.381228,0.419681,3202.501943,0.574734,47,0.378353,409
51,Hanni Reinwald,Darsteller,5,44,4,0.378701,0.410054,2496.279838,0.261715,28,0.338624,128
52,Willibald Gaebel,Kamera,5,51,4,0.396026,0.431739,3964.780957,0.42932,42,0.250871,216
53,Reinhold Schünzel,Darsteller/Regie,5,47,5,0.389723,0.428977,5351.499044,0.421727,45,0.261616,259
54,Karl Hasselmann,Kamera,5,58,4,0.39204,0.432322,7298.588424,0.438755,52,0.217195,288
55,Karl Falkenberg,Darsteller,5,40,5,0.373746,0.406807,3760.384778,0.337083,34,0.28877,162
56,Max Frick,Bauten,5,46,5,0.382078,0.416044,1706.683669,0.321604,32,0.344758,171
57,Leopold von Ledebur,Darsteller,5,49,5,0.371317,0.407974,6822.369569,0.333609,44,0.226216,214
58,Ernst Rückert,Darsteller,5,43,4,0.35384,0.38098,2817.428713,0.165191,22,0.316017,73
59,Claire Lotto,Darsteller,5,50,4,0.376207,0.412777,2857.563698,0.435947,40,0.296154,231
60,Julia Serda,Darsteller,4,38,4,0.394567,0.425613,2418.494212,0.41658,31,0.348387,162
61,Joseph Delmont,Drehbuch/Regie,4,30,5,0.351806,0.378705,845.79615,0.153438,19,0.421053,72
62,Ulrich Bettac,Darsteller,4,33,4,0.375548,0.40247,941.215289,0.282136,23,0.41502,105
63,Ewald Daub,Kamera,4,43,5,0.369237,0.399514,2644.306952,0.260577,29,0.374384,152
64,Carl Auen,Darsteller,4,36,4,0.384133,0.417639,2885837,0.3361,33,0.270833,143
65,Eugen Rex,Darsteller,4,41,5,0.388662,0.426546,4522.346153,0.347251,39,0.249663,185
66,Dary Holm,Darsteller,4,45,5,0.36069,0.390471,1788.214734,0.195392,29,0.364532,148
67,Franz Koch,Kamera,4,30,5,0.32685,0.353967,399.971597,0.136535,21,0.457143,96
68,Robert Dinesen,Regie/Drehbuch,4,37,4,0.385342,0.413361,634.742302,0.280848,22,0.536797,124
69,Peter Rochelsberg,Bauten,4,45,5,0.371962,0.402042,565.99476,0.329107,27,0.467236,164
70,Karl Platen,Darsteller,4,36,5,0.369237,0.405251,4196.352262,0.260101,35,0.243697,145
71,Stefan Lhotka,Bauten,4,46,5,0.372771,0.404278,746.670241,0.328054,29,0.470443,191
72,Franz Rauch,Drehbuch/Darsteller,4,36,5,0.351518,0.376954,779.042386,0.1646,20,0.468421,89
73,Franz Schroedter,Bauten,4,39,5,0.375877,0.410502,3540.205245,0.310727,38,0.26458,186
74,Fritz Kampers,Darsteller,4,42,5,0.385862,0.421684,3016.106514,0.377076,39,0.282051,209
75,Toni Mülleneisen,Kamera,4,42,5,0.334374,369,10547.780712,0.127698,38,0.237553,167
