Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree;clustering;triangles;;
127;Paul May;Schnitt;4;59;4;0.379552;0.41975;2071.250308;0.222709;50;0.318367;390;;
128;Herbert B. Fredersdorf;Schnitt/Drehbuch;4;58;4;0.419089;0.455106;1106.192473;0.340819;47;0.364477;394;;
129;Paul Richter;Darsteller;4;43;4;0.395519;0.429672;2750.226927;0.192808;40;0.305128;238;;
130;Thea von Harbou;Drehbuch/Regie;6;78;4;0.428218;0.465511;2975.498359;0.323045;53;0.278665;384;;
131;Hermann Speelmans;Darsteller;4;52;5;0.418481;0.457514;2139.062718;0.324425;49;0.292517;344;;
132;Theodor Loos;Darsteller;4;51;4;0.413085;0.448362;1432.942616;0.227627;41;0.315854;259;;
133;E. W. Emo;Regie;4;58;4;0.432716;0.467148;682.552113;0.474986;46;0.410628;425;;
134;Hans Moser;Darsteller;4;56;3;0.42843;0.464355;4028.897578;0.330414;52;0.260935;346;;
135;Kurt Dürnhöfer;Bauten;4;54;4;0.413678;0.453179;2333.493135;0.288769;53;0.259797;358;;
136;Ralph Scotoni;Produzent;4;73;5;0.386333;0.425337;888.65495;0.251682;46;0.457005;473;;
137;Arthur Maria Rabenalt;Regie;4;21;4;0.376087;0.403276;227.145171;0.143591;21;0.614286;129;;
138;Ludwig Schmid-Wildy;Darsteller/Regie;4;50;5;0.342846;0.368401;918.960286;0.066099;23;0.644269;163;;
139;Géza von Bolváry;Regie;4;53;4;0.395519;0.427168;547.426841;0.182566;35;0.470588;280;;
140;Johannes Meyer;Regie;4;49;4;0.4325;0.467052;1808.96403;0.355996;47;0.320999;347;;
141;Alois Melichar;Musik;4;53;4;0.390343;0.422543;1342.303536;0.191239;39;0.379217;281;;
142;Walter Reimann;Bauten/Drehbuch;5;67;4;0.412888;0.449711;1293.514924;0.269827;46;0.32657;338;;
143;Peter Francke;Drehbuch;4;44;4;0.408019;0.444123;1971.92986;0.271726;44;0.274841;260;;
144;Carl Froelich;Regie/Produzent/Drehbuch;7;88;4;0.393003;0.424663;604.01187;0.166998;34;0.445633;250;;
145;Arthur Hohenberg;Produzent;4;62;4;0.400093;0.432274;272.674871;0.299998;34;0.56328;316;;
146;Jenny Jugo;Darsteller;4;51;4;0.404584;0.436127;295.285474;0.296697;34;0.491979;276;;
147;Günther Rittau;Kamera;4;57;4;0.36887;0.401252;471.689096;0.158527;36;0.465079;293;;
148;Willi Schur;Darsteller;4;52;4;0.419903;0.456551;2950.017862;0.267354;47;0.27197;294;;
149;Gustav Waldau;Darsteller;4;59;3;0.440204;0.475145;3220.890231;0.415197;53;0.311321;429;;
150;Lien Deyers;Darsteller;4;53;4;0.413876;0.451349;2007.033022;0.355534;47;0.311748;337;;
151;Bruno Timm;Kamera;4;50;4;0.415666;0.451252;547.207136;0.36767;42;0.360046;310;;
152;Guido Bagier;Produzent;4;55;4;0.432933;0.470039;2468.978248;0.359518;51;0.303529;387;;
153;Martha Dübber;Schnitt;4;63;4;0.434673;0.470424;4162.481745;0.372713;50;0.350204;429;;
154;Jan Kiepura;Darsteller;4;60;4;0.383933;0.418208;7293.482472;0.208732;42;0.421603;363;;
155;Benno von Arent;Bauten;4;56;4;0.388066;0.421098;1023.268242;0.223759;37;0.405405;270;;
156;Luis Trenker;Darsteller/Drehbuch/Regie;5;63;5;0.361169;0.387283;201.962196;0.093166;22;0.541126;125;;
157;Anny Ondra;Produzent/Darsteller;7;106;4;0.390519;0.423314;258.453981;0.243034;35;0.52605;313;;
158;Karl Ludwig Diehl;Darsteller;4;54;4;0.430562;0.465703;2826.739374;0.306156;48;0.296986;335;;
159;Walter Supper;Drehbuch;4;54;4;0.393361;0.42736;2010.298332;0.194032;40;0.35641;278;;
160;Willy Engel-Berger;Musik;3;39;4;0.409177;0.442197;743.594291;0.32336;38;0.392603;276;;
161;Otto Erdmann;Bauten;3;44;4;0.424853;0.456069;1321.80429;0.278162;38;0.41963;295;;
162;Willy Fritsch;Darsteller;3;37;4;0.404963;0.435164;636.40215;0.242622;34;0.409982;230;;
163;Hans Junkermann;Darsteller;3;41;4;0.409371;0.442389;850.946812;0.25781;36;0.369841;233;;
164;Willy Rath;Drehbuch;3;40;4;0.389464;0.421195;1660.381345;0.164222;35;0.388235;231;;
165;Georg Witt;Produzent;3;43;4;0.414868;0.445665;327.93042;0.298931;33;0.507576;268;;
166;Fritz Maurischat;Bauten;3;45;4;0.398434;0.430829;1304.369562;0.210266;34;0.449198;252;;
167;Luise Ullrich;Darsteller;3;33;4;0.414669;0.445376;583.991675;0.299543;33;0.397727;210;;
168;Fritz Rasp;Darsteller;3;34;4;0.42072;0.450771;1857.508705;0.269025;31;0.389247;181;;
169;Aribert Wäscher;Darsteller;3;39;4;0.398618;0.429672;1149.208574;0.198119;35;0.369748;220;;
170;Heinz Paul;Drehbuch/Regie;6;96;5;0.359967;0.389692;262.043785;0.152426;30;0.613793;267;;
171;Karl Machus;Bauten;3;42;5;0.399723;0.434586;607.332787;0.291334;38;0.394026;277;;
172;Fritz Servos;Darsteller;3;37;5;0.369185;0.395954;54.06528;0.13504;22;0.679654;157;;
173;Fritz Wendhausen;Regie/Drehbuch;3;42;4;0.393182;0.422929;428.263826;0.164671;29;0.495074;201;;
174;Willi Forst;Darsteller/Drehbuch/Regie;4;49;4;0.391757;0.42341;1614.260044;0.19164;34;0.388592;218;;
175;Philipp Manning;Darsteller;3;36;4;0.42716;0.458189;862.82147;0.256206;33;0.357955;189;;
176;Kurt Peters;Produzent;3;45;4;0.40725;0.441715;759.740378;0.268341;39;0.415655;308;;
177;Willy Schaeffers;Darsteller;3;30;4;0.390167;0.418593;430.273081;0.199846;28;0.449735;170;;
