Id;Label;Contribution;Weight;Weighted Degree;Eccentricity;closnesscentrality;harmonicclosnesscentrality;betweenesscentrality;eigencentrality;Degree;clustering;triangles;;
802;Karl Stepanek;Darsteller;1;19;5;0.35509;0.381021;0;0.128213;18;1;153;;
803;Achim Schmidt;Darsteller;1;10;5;0.300452;0.317168;0;0.013504;9;1;36;;
804;Herta Worell;Darsteller;1;14;5;0.339083;0.358882;0;0.045868;13;1;78;;
805;Fritz Reck-Malleczewen;Drehbuch;1;16;5;0.370767;0.395568;0;0.093635;16;1;120;;
806;Hans F. Wilhelm;Drehbuch/Regie;2;18;5;0.300452;0.317168;0;0.013504;9;1;36;;
807;Guido Seeber;Kamera;1;12;4;0.370926;0.392197;0;0.08054;11;1;55;;
808;Gustav Diessl;Darsteller;1;19;5;0.330279;0.35289;0;0.045713;18;1;153;;
809;Gustl Stark-Gstettenbaur;Darsteller;1;14;4;0.370767;0.392967;0;0.109642;14;1;91;;
810;Hadrian Maria Netto;Darsteller;1;13;5;0.344896;0.366089;0;0.054321;13;1;78;;
811;Hanns H. Fischer;Drehbuch;1;17;4;0.387545;0.411175;0;0.170703;17;1;136;;
812;Hanns H. Kuhnert;Bauten;1;12;5;0.34865;0.371291;0;0.068487;12;1;66;;
813;Hans Ailbout;Musik;1;10;5;0.300452;0.317168;0;0.013504;9;1;36;;
814;Glen Mac: Williams;Kamera;1;15;5;0.327156;0.347784;0;0.072186;15;1;105;;
815;Hans Fitz;Darsteller;1;6;5;0.276711;0.289152;0;0.006689;5;1;10;;
816;Hans Geishauer;Produzent;1;14;5;0.376251;0.4;0;0.148746;14;1;91;;
817;Hans Gustl Kernmayr;Drehbuch;1;5;5;0.314203;0.329961;0;0.023084;5;1;10;;
818;Hans Homma;Darsteller;1;14;4;0.353639;0.374085;0;0.067282;14;1;91;;
819;Hans Hömberg;Drehbuch;1;12;4;0.370926;0.392197;0;0.08054;11;1;55;;
820;Hans Jacoby;Bauten;1;10;5;0.335401;0.355491;0;0.038002;9;1;36;;
821;Grit Haid;Darsteller;1;16;4;0.376251;0.399711;0;0.149495;16;1;120;;
822;Gina Manès;Darsteller;1;13;4;0.332054;0.351156;0;0.046675;13;1;78;;
823;Hans Kettler;Darsteller;1;14;5;0.313747;0.332678;0;0.020713;11;1;55;;
824;Georges Malkine;Darsteller;1;13;4;0.332054;0.351156;0;0.046675;13;1;78;;
825;Gabriel Gabrio;Darsteller;1;13;4;0.332054;0.351156;0;0.046675;13;1;78;;
826;Gabriel Levy;Produzent;1;13;5;0.349636;0.369942;0;0.070478;12;1;66;;
827;Gabriel Pellon;Bauten;1;13;5;0.351483;0.373121;0;0.066217;13;1;78;;
828;Gaston Dubosc;Darsteller;1;14;4;0.336445;0.356262;0;0.06962;13;1;78;;
829;Georg Muschner;Kamera;1;11;5;0.333719;0.350289;0;0.02632;10;1;45;;
830;Georg Mühlen-Schulte;Drehbuch;1;13;4;0.356848;0.376782;0;0.056433;11;1;55;;
831;Georges Colin;Darsteller;1;15;5;0.352486;0.37736;0;0.090441;14;1;91;;
832;Georges Rigaud;Darsteller;1;15;4;0.358475;0.381985;0;0.122041;15;1;105;;
833;Gina Malo;Darsteller;1;14;5;0.278673;0.296204;0;0.023086;14;1;91;;
834;Georges Saillard;Darsteller;1;14;4;0.35626;0.378516;0;0.088484;14;1;91;;
835;Georges Tabet;Darsteller;1;14;4;0.351198;0.371291;0;0.086954;13;1;78;;
836;Gerhard Bienert;Darsteller;1;15;4;0.364057;0.386898;0;0.098835;14;1;91;;
837;Gerhard Hoffmann;Musik;1;12;5;0.370133;0.392197;0;0.104091;11;1;55;;
838;Gertrud Wolle;Darsteller;1;12;4;0.358921;0.379576;0;0.083349;12;1;66;;
839;Gina Carlton;Produzent;1;13;4;0.330405;0.349422;0;0.035781;12;1;66;;
840;Hans Járay;Darsteller;1;12;5;0.316271;0.334489;0;0.029953;11;1;55;;
841;Hans Leibelt;Darsteller;1;9;5;0.335662;0.353776;0;0.030445;8;1;28;;
842;Hermann Windt;Musik;1;5;6;0.265175;0.276243;0;0.006387;4;1;6;;
843;Henny Porten;Darsteller;1;12;5;0.347111;0.369364;0;0.056774;12;1;66;;
844;Heinz Umbehr;Drehbuch;1;13;5;0.351483;0.373121;0;0.066217;13;1;78;;
845;Heinz von Cleve;Darsteller;1;13;4;0.344622;0.366667;0;0.075683;13;1;78;;
846;Helen Chandler;Darsteller;1;12;5;0.316271;0.334489;0;0.029953;11;1;55;;
847;Helene Fehdmer;Darsteller;1;15;5;0.359219;0.382563;0;0.089961;13;1;78;;
848;Helma Rückert;Darsteller;1;11;5;0.3247;0.345568;0;0.046424;11;1;55;;
849;Helmut Rudolph;Darsteller;1;6;4;0.365287;0.38343;0;0.070461;6;1;15;;
850;Helmuth Renar;Darsteller;1;11;5;0.3247;0.345568;0;0.046424;11;1;55;;
851;Henry Houry;Darsteller;1;14;4;0.35626;0.378516;0;0.088484;14;1;91;;
852;Heinrich George;Darsteller;1;19;5;0.35509;0.381021;0;0.128213;18;1;153;;
853;Henry Lorenzen;Darsteller;1;15;4;0.364211;0.386127;0;0.125659;14;1;91;;
854;Henry Roussell;Darsteller;1;13;4;0.342982;0.364933;0;0.073643;13;1;78;;
855;Herbert Ernst Groh;Darsteller;1;12;5;0.345172;0.367168;0;0.060866;12;1;66;;
856;Hermann Fidow;Drehbuch;1;13;4;0.371883;0.392582;0;0.13478;13;1;78;;
857;Hermann Fürchtenicht;Musik;1;10;5;0.323364;0.344547;0;0.034504;10;1;45;;
858;Hermann Krome;Musik;1;10;5;0.341897;0.362909;0;0.053957;10;1;45;;
859;Hermann Oberländer;Drehbuch;1;8;4;0.363293;0.380443;0;0.066763;8;1;28;;
860;Heinz Klingenberg;Darsteller;1;12;5;0.345034;0.367052;0;0.059458;12;1;66;;
861;Heinrich Berg;Darsteller;1;14;4;0.339882;0.359538;0;0.073759;13;1;78;;
862;Hans Zesch-Ballot;Darsteller;1;12;5;0.34865;0.371291;0;0.068487;12;1;66;;
863;Hans Minzloff;Bauten;1;15;5;0.338155;0.358382;0;0.049566;13;1;78;;
864;Hans Pössenbacher;Darsteller;1;21;5;0.341088;0.364066;0;0.061214;18;1;153;;
865;Hans Rastede;Darsteller;1;14;5;0.313747;0.332678;0;0.020713;11;1;55;;
866;Hans Reimann;Drehbuch;1;14;5;0.354654;0.377649;0;0.097169;13;1;78;;
867;Hans Schneeberger;Kamera;1;19;5;0.35509;0.381021;0;0.128213;18;1;153;;
868;Hans Thimig;Darsteller;1;14;5;0.359369;0.381503;0;0.117656;14;1;91;;
869;Hans Wolff;Schnitt;1;14;4;0.360267;0.383622;0;0.100138;13;1;78;;
870;Hans von Zedlitz;Darsteller;1;14;4;0.381562;0.405877;0;0.162146;14;1;91;;
871;Hasso Preiß;Regie;1;11;4;0.383933;0.406166;0;0.121648;11;1;55;;
872;Hansi Arnstaedt;Darsteller;1;12;5;0.347111;0.369364;0;0.056774;12;1;66;;
873;Hansi Thoms;Darsteller;1;6;5;0.276711;0.289152;0;0.006689;5;1;10;;
874;Harald Bratt;Drehbuch;1;13;4;0.344622;0.366667;0;0.075683;13;1;78;;
875;Harry Gondi;Darsteller;1;13;5;0.344896;0.366089;0;0.054321;13;1;78;;
876;Harry Liedtke;Darsteller;1;12;5;0.37576;0.399904;0;0.136711;12;1;66;;
877;Harry Welchman;Darsteller;1;13;4;0.330405;0.349422;0;0.035781;12;1;66;;
